texto,categoria
¿Qué forma tiene la moneda?,detalle_objeto
¿Qué forma tiene el libro?,detalle_objeto
Cuéntame cómo es este sala,descripcion_escena
Encuentra la llave,localizacion_objeto
Haz una descripción general,descripcion_escena
¿He terminado ya?,consulta_general
Dime cómo llegar a la poción,navegacion
¿Qué se muestra ahora?,descripcion_escena
¿Puedo soltar un objeto?,consulta_general
¿Qué detectas en este lugar?,descripcion_escena
Háblame del entorno,descripcion_escena
Dime la posición de el cuadro,localizacion_objeto
Necesito saber dónde está la poción,localizacion_objeto
¿Dónde estoy?,descripcion_escena
Necesito ir a la silla,navegacion
¿Cómo es el botón rojo?,detalle_objeto
¿Qué tipo de juego es este?,consulta_general
¿Cómo puedo relajarme?,fuera_dominio
¿Hay alguna mesa por aquí y dónde está?,localizacion_objeto
¿Dónde queda el botón rojo exactamente?,localizacion_objeto
¿En qué dirección está la alfombra?,localizacion_objeto
¿Qué es Linux?,fuera_dominio
¿Hay algún llave cerca de mí?,objetos_cercanos
¿Cómo llego a la caja de madera?,navegacion
¿Dónde está la estatua?,localizacion_objeto
¿Cuántos años tienes?,fuera_dominio
¿Hay algo delante de mí?,objetos_cercanos
Descríbeme la palanca,detalle_objeto
¿Hay alguna roca cerca?,objetos_cercanos
Qué objeto hay a mi lado,objetos_cercanos
Orientame hacia la antorcha,navegacion
¿Qué distingues en la escena?,descripcion_escena
Necesito ir a la llave,navegacion
¿Puedes decirme dónde está el pergamino?,localizacion_objeto
Describe cómo luce la estancia,descripcion_escena
Lista los objetos a mi alcance,objetos_cercanos
Háblame de el libro,detalle_objeto
"Voy a el escudo, guíame",navegacion
Tengo que encontrar la llave dorada,localizacion_objeto
Condúceme a la puerta,navegacion
Háblame de la silla,detalle_objeto
Ayúdame a llegar a la vela,navegacion
Orientame hacia el botón rojo,navegacion
¿Qué tengo arriba?,objetos_cercanos
¿Hay algún atajo?,consulta_general
Explícame cómo es este sitio,descripcion_escena
¿Cómo es la lámpara?,detalle_objeto
¿Qué tamaño tiene la estatua?,detalle_objeto
¿Cuáles son mis vecinos más cercanos?,objetos_cercanos
Explícame cómo es la llave,detalle_objeto
¿De qué color es el cuadro?,detalle_objeto
Quiero saber más sobre la moneda,detalle_objeto
Dirígeme a el reloj,navegacion
Quiero ir hacia el cetro,navegacion
Dame una descripción detallada de la escena,descripcion_escena
¿Puedes decirme dónde está la palanca?,localizacion_objeto
¿Qué tamaño tiene la llave?,detalle_objeto
¿Está cerca el libro?,localizacion_objeto
Dame una descripción breve de la escena,descripcion_escena
¿Qué equipo va primero en la liga?,fuera_dominio
Dame una panorámica verbal del sitio,descripcion_escena
Descríbeme este escenario,descripcion_escena
¿Tengo escudo cerca?,objetos_cercanos
¿Qué clase de espacio es este?,descripcion_escena
¿Qué forma tiene el reloj?,detalle_objeto
¿Qué textura tiene la llave?,detalle_objeto
Dime qué puedes ver ahora mismo,descripcion_escena
Descríbeme lo que ves en pantalla,descripcion_escena
¿Tengo espada cerca?,objetos_cercanos
Ve arriba,navegacion
Describeme la sala,descripcion_escena
¿Cuánto me falta para llegar a la ventana?,localizacion_objeto
Descríbeme la llave,detalle_objeto
Descríbeme lo que te rodea,descripcion_escena
Descríbeme el cetro con detalle,detalle_objeto
"No te he entendido, repite",consulta_general
¿Hay algún ventana cerca de mí?,objetos_cercanos
¿Qué objetos tengo al alcance?,objetos_cercanos
Explícame la sala como si yo no la viese,descripcion_escena
¿Cómo llego a la roca?,navegacion
¿Qué objetos están más cerca de mí?,objetos_cercanos
¿Cómo te actualizan?,fuera_dominio
¿Tengo libro cerca?,objetos_cercanos
Descríbeme la habitación entera,descripcion_escena
Descríbeme solo lo que está junto a mí,objetos_cercanos
¿Qué tipo de escenario es este?,descripcion_escena
¿Hay algún antorcha cerca de mí?,objetos_cercanos
¿Cuál es el objeto más próximo a mí?,objetos_cercanos
Quiero una descripción breve del entorno,descripcion_escena
Quien eres tu,fuera_dominio
¿Tengo poción al alcance?,objetos_cercanos
¿Hace frío fuera?,fuera_dominio
¿Dónde hay una antorcha encendida?,localizacion_objeto
Dirígeme a el pergamino,navegacion
Descríbeme lo que hay delante de la cámara,descripcion_escena
¿Hace calor?,fuera_dominio
Qué objeto hay enfrente,objetos_cercanos
"Voy a la alfombra, guíame",navegacion
¿Dónde se encuentra la alfombra?,localizacion_objeto
"Posición de la botella, por favor",localizacion_objeto
Qué objeto hay a mi izquierda,objetos_cercanos
Orientame hacia la poción,navegacion
¿Hacia dónde queda el reloj?,localizacion_objeto
"Objetos a corta distancia, por favor",objetos_cercanos
¿Hay alguna pergamino cerca?,objetos_cercanos
Llévame a la botella,navegacion
¿Qué veo ahora mismo?,descripcion_escena
¿Qué armas tengo cerca?,objetos_cercanos
Hazme una descripción detallada del lugar,descripcion_escena
¿Qué forma tiene el barril?,detalle_objeto
Acércame a el barril,navegacion
¿Qué tengo a mano?,objetos_cercanos
Muéstrame el camino a la poción,navegacion
Dime una receta vegana,fuera_dominio
¿Qué ves en la escena?,descripcion_escena
Vuelve a describir la escena,consulta_general
¿Puedo moverme libremente?,consulta_general
Localiza la moneda,localizacion_objeto
¿Me puedes localizar la puerta?,localizacion_objeto
¿Cómo se usa este objeto?,consulta_general
¿Tengo estantería cerca?,objetos_cercanos
¿Qué objetos puedo tocar desde aquí?,objetos_cercanos
¿Hay alguna cristal cerca?,objetos_cercanos
¿Puedo agacharme?,consulta_general
Explícame cómo es la lámpara,detalle_objeto
Descríbeme la moneda con detalle,detalle_objeto
¿Hay un hechizo disponible?,consulta_general
Tira un dado por mí,fuera_dominio
Guíame hasta el cetro,navegacion
Localiza la poción,localizacion_objeto
Perdona,fuera_dominio
Describe la escena,descripcion_escena
Insúltame,fuera_dominio
¿Dónde puedo encontrar la roca?,localizacion_objeto
¿Puedo empujar objetos?,consulta_general
¿Cómo se ve la silla?,detalle_objeto
Necesito motivación,fuera_dominio
Llévame a el reloj,navegacion
Cuéntame qué tipo de sitio es,descripcion_escena
Dime las últimas noticias,fuera_dominio
Dame detalles sobre la silla,detalle_objeto
Orientame hacia el reloj,navegacion
¿Cómo avanzo?,consulta_general
¿Qué tengo a mi lado?,objetos_cercanos
"¿Con qué se interactúa, teclado o ratón?",consulta_general
Muéstrame el camino a la moneda,navegacion
Dime dónde está la estantería,localizacion_objeto
¿Qué forma tiene el escudo?,detalle_objeto
Hay algo al alcance?,objetos_cercanos
Cuéntame cómo es este espacio,descripcion_escena
Estoy perdido,consulta_general
¿Qué pinta tiene esta habitación?,descripcion_escena
Ayúdame a llegar a el cuadro,navegacion
¿Tienes sentimientos?,fuera_dominio
¿De qué material es la silla?,detalle_objeto
Socorro,consulta_general
Dirígeme a la estatua,navegacion
"Haz de narrador, descríbeme la escena",descripcion_escena
¿Cuál es el objeto más próximo?,objetos_cercanos
Muéstrame el camino a la botella,navegacion
¿Qué herramientas tengo cerca?,objetos_cercanos
¿Cómo se ve el barril?,detalle_objeto
Dime cómo es el botón rojo en detalle,detalle_objeto
Dime dónde está la roca,localizacion_objeto
Necesito ir a el cetro,navegacion
Qué tengo cerca,objetos_cercanos
Dime si hay algún cristal y dónde está,localizacion_objeto
Dime cómo es la silla en detalle,detalle_objeto
Encuentra la silla,localizacion_objeto
Explica cómo es el espacio que tengo delante,descripcion_escena
¿A qué distancia está la botella?,localizacion_objeto
¿Qué textura tiene la antorcha?,detalle_objeto
Que hora es,fuera_dominio
Traduce lo que ves en una descripción,descripcion_escena
¿Está cerca la estantería?,localizacion_objeto
Quiero una descripción completa del entorno,descripcion_escena
Recomiéndame una película,fuera_dominio
Háblame de la mesa,detalle_objeto
¿Cómo es el espacio en el que estoy?,descripcion_escena
¿Cómo se ve la alfombra?,detalle_objeto
Dime qué hay a mi derecha,objetos_cercanos
Dame detalles sobre el libro,detalle_objeto
¿Qué textura tiene el cetro?,detalle_objeto
Como se juega?,consulta_general
¿Qué función tiene este botón?,consulta_general
Ayúdame a llegar a la mesa,navegacion
Dirígeme a el mapa,navegacion
Llévame a la palanca,navegacion
No sé qué hacer,consulta_general
Muéstrame el camino a el cetro,navegacion
Quiero comprar algo,fuera_dominio
"Voy a el barril, guíame",navegacion
¿la puerta tiene algo especial?,detalle_objeto
Dime cómo llegar a la caja de madera,navegacion
¿Qué distingues en este lugar?,descripcion_escena
Guíame hasta la puerta,navegacion
¿Puedo hablar con alguien?,consulta_general
¿Dónde está el mapa?,localizacion_objeto
¿Eso era un crujido o lo he imaginado?,consulta_general
¿Hay cosas cerca de mí?,objetos_cercanos
Como interactuo,consulta_general
¿Cuánto me falta para llegar a la botella?,localizacion_objeto
¿Cómo funciona una democracia?,fuera_dominio
Descríbeme este habitación,descripcion_escena
Orientame hacia el mapa,navegacion
¿Dónde está el pergamino?,localizacion_objeto
"Posición de el pergamino, por favor",localizacion_objeto
Dime los objetos que tengo a un metro,objetos_cercanos
¿Hay alguna vela cerca?,objetos_cercanos
¿Qué tipo de entorno es este?,descripcion_escena
Qué objeto hay delante de mí,objetos_cercanos
¿Tengo lámpara cerca?,objetos_cercanos
¿Te gusta tu trabajo?,fuera_dominio
¿Hay pasadizos ocultos?,consulta_general
¿Hay alguna llave cerca?,objetos_cercanos
¿Cuánto me falta para llegar a el libro?,localizacion_objeto
¿Cómo se ve el cetro?,detalle_objeto
Hazme una descripción general del lugar,descripcion_escena
Necesito más tiempo,consulta_general
¿Tengo barril cerca?,objetos_cercanos
Explícame qué es Python,fuera_dominio
¿Qué clase de habitación es este?,descripcion_escena
Ayúdame a llegar a el pergamino,navegacion
Señálame dónde está el reloj,localizacion_objeto
¿Cómo llego a la moneda?,navegacion
¿Cuánto me falta para llegar a la caja de madera?,localizacion_objeto
¿Qué tengo ahí mismo?,objetos_cercanos
Llévame a el cofre,navegacion
¿De qué color es la roca?,detalle_objeto
Dirígeme a la lámpara,navegacion
¿Qué tipo de espacio es este?,descripcion_escena
¿Puedes decirme dónde está la puerta?,localizacion_objeto
Buenas tardes,fuera_dominio
¿De qué color es la lámpara?,detalle_objeto
¿A qué distancia está el reloj?,localizacion_objeto
Apaga la tele,fuera_dominio
Guíame hasta el botón rojo,navegacion
¿Podrías darme alguna pista?,consulta_general
Acércame a la silla,navegacion
¿Hay alguna mesa cerca?,objetos_cercanos
¿En qué dirección está la ventana?,localizacion_objeto
¿Cómo programo en Java?,fuera_dominio
¿Cómo silencio el juego?,consulta_general
Quiero una descripción detallada del entorno,descripcion_escena
¿Cómo llego a el cetro?,navegacion
Pinta lo que estás viendo,descripcion_escena
Dame un consejo para avanzar,consulta_general
¿Dónde está la alfombra?,localizacion_objeto
¿Es grande o pequeño el cetro?,detalle_objeto
Disculpa,fuera_dominio
Indícame el camino hasta la llave,navegacion
¿Dónde está la espada?,localizacion_objeto
¿Estoy dentro de un edificio?,consulta_general
Dime qué hay enfrente,objetos_cercanos
Dime qué hay cerca de mí,objetos_cercanos
Quiero ir hacia la ventana,navegacion
¿Cuándo juega el Madrid?,fuera_dominio
¿Se puede romper algo?,consulta_general
Háblame de la botella,detalle_objeto
Dime la posición de la silla,localizacion_objeto
¿Tengo poción cerca?,objetos_cercanos
¿Qué percibes en la escena?,descripcion_escena
¿Cuándo es la próxima elección?,fuera_dominio
Chao,fuera_dominio
Cómo hackeo una red wifi,fuera_dominio
¿Cuándo sale el sol mañana?,fuera_dominio
¿Hay algo debajo de mí?,objetos_cercanos
¿Hay alguna salida?,consulta_general
¿Qué textura tiene el cofre?,detalle_objeto
Explícame cómo es el escudo,detalle_objeto
Descríbeme la estancia completa,descripcion_escena
Dame contexto de dónde estoy,descripcion_escena
¿Dónde está el escudo?,localizacion_objeto
¿Hay alguna puerta bloqueada?,consulta_general
¿Dónde se encuentra la mesa?,localizacion_objeto
¿Quién descubrió América?,fuera_dominio
¿Es interactivo el entorno?,consulta_general
Cuéntame cómo es este habitación,descripcion_escena
¿Me puedes localizar la alfombra?,localizacion_objeto
Ubícame la estatua,localizacion_objeto
¿Puedo llamar la atención?,consulta_general
Condúceme a el cetro,navegacion
No me gustas,fuera_dominio
Dame una idea de cómo se ve esto,descripcion_escena
Quiero una descripción general del entorno,descripcion_escena
¿A qué distancia está el cristal?,localizacion_objeto
¿Se puede gritar aquí?,consulta_general
¿Qué hay a poca distancia?,objetos_cercanos
Señálame dónde está el escudo,localizacion_objeto
¿Tengo cofre al alcance?,objetos_cercanos
Quieto,navegacion
Dime dónde está la espada,localizacion_objeto
Dime la posición de la estatua,localizacion_objeto
Dime qué hay delante de mí,objetos_cercanos
Muéstrame el camino a la estatua,navegacion
¿Me puedes localizar el cuenco?,localizacion_objeto
¿Cómo activo el botón?,consulta_general
¿Tengo barril al alcance?,objetos_cercanos
Cómo se escribe excepcionalmente,fuera_dominio
¿Cómo se ve el libro?,detalle_objeto
Resume lo que hay a mi alrededor,descripcion_escena
Puedo salir?,consulta_general
¿Existe Dios?,fuera_dominio
Descríbeme la imagen,descripcion_escena
¿Me puedes localizar la estantería?,localizacion_objeto
Cuéntame qué ves,descripcion_escena
Orientame hacia la salida,navegacion
Quiero ir hacia la llave,navegacion
¿Qué forma tiene la poción?,detalle_objeto
Acércame a el cuenco,navegacion
¿Es grande o pequeño el cuadro?,detalle_objeto
Pon una alarma a las siete,fuera_dominio
¿Qué tamaño tiene la mesa?,detalle_objeto
Qué objeto hay detrás de mí,objetos_cercanos
Cántame una canción,fuera_dominio
¿Tengo vela al alcance?,objetos_cercanos
Quiero saber cómo es el sitio,descripcion_escena
¿Dónde se encuentra la espada?,localizacion_objeto
¿Me puedes localizar el pergamino?,localizacion_objeto
¿Cuál es la capital de Francia?,fuera_dominio
Llévame a el mapa,navegacion
Recomiéndame música,fuera_dominio
Cómo se cocina el arroz,fuera_dominio
"Próximo a mí, ¿qué hay?",objetos_cercanos
¿De qué color es la vela?,detalle_objeto
"Cerca de mí, ¿qué ves?",objetos_cercanos
¿el botón rojo tiene algo especial?,detalle_objeto
¿Hay algo cerca de mí?,objetos_cercanos
Por favor,fuera_dominio
¿Cómo interactúo con los objetos?,consulta_general
Buenos días,fuera_dominio
¿Puedes repetir lo que has dicho?,consulta_general
Dime hacia qué lado está la antorcha,localizacion_objeto
Guíame hasta el barril,navegacion
¿Qué forma tiene el cofre?,detalle_objeto
¿Quién ganó el partido de anoche?,fuera_dominio
¿Dónde se encuentra la palanca?,localizacion_objeto
¿De qué color es la silla?,detalle_objeto
¿Tengo mesa al alcance?,objetos_cercanos
¿Está cerca la ventana?,localizacion_objeto
Dime dónde está la alfombra,localizacion_objeto
Muchas gracias,fuera_dominio
"Posición de la alfombra, por favor",localizacion_objeto
¿Qué tengo a mi derecha?,objetos_cercanos
¿Cómo escapo de esta sala?,consulta_general
Dime hacia qué lado está la puerta,localizacion_objeto
¿Cómo se juega esto?,consulta_general
Acércame a la palanca,navegacion
¿Qué instrucciones tengo?,consulta_general
¿Hay música de fondo?,consulta_general
¿Está iluminado?,consulta_general
Dime cómo llegar a el barril,navegacion
¿Cómo llego a el cofre?,navegacion
¿Qué me recomiendas hacer ahora?,consulta_general
Cuéntame cómo es el cuenco,detalle_objeto
¿Hay alguna espada cerca?,objetos_cercanos
Detalla el cetro,detalle_objeto
¿Tengo cristal cerca?,objetos_cercanos
Resultado del Barcelona ayer,fuera_dominio
¿Qué tengo enfrente?,objetos_cercanos
¿Está cerca el cofre?,localizacion_objeto
Dime algo bonito,fuera_dominio
¿Qué forma tiene el cristal?,detalle_objeto
Descríbeme la mesa,detalle_objeto
¿Qué hay al alcance de mi mano?,objetos_cercanos
¿Tengo palanca al alcance?,objetos_cercanos
Buenas noches,fuera_dominio
¿la espada parece nuevo o viejo?,detalle_objeto
¿Tengo estatua cerca?,objetos_cercanos
Localiza la estantería,localizacion_objeto
¿Hay algún estantería cerca de mí?,objetos_cercanos
Dime cómo es la escena que tengo delante,descripcion_escena
¿Puedo bajar la dificultad?,consulta_general
¿Qué ambiente se respira en la sala?,descripcion_escena
Dime el resultado de diez menos tres,fuera_dominio
Ve a la derecha,navegacion
Descríbeme el libro con detalle,detalle_objeto
¿Cómo llego a el cuenco?,navegacion
¿Qué forma tiene la antorcha?,detalle_objeto
Orientame hacia el barril,navegacion
¿Cómo respiro mejor aquí dentro?,consulta_general
Estoy cansado,fuera_dominio
Descríbeme el ambiente,descripcion_escena
¿Cómo es la poción?,detalle_objeto
Encuentra el cuadro,localizacion_objeto
Dime qué está apareciendo,descripcion_escena
¿Tengo silla al alcance?,objetos_cercanos
Descríbeme la silla con detalle,detalle_objeto
Dime cómo llegar a la llave,navegacion
Detalla la estatua,detalle_objeto
¿Quién te entrenó?,fuera_dominio
Cuéntame cómo es este entorno,descripcion_escena
¿Hay algo pegado a mi cuerpo?,objetos_cercanos
Dime qué hay en mi zona cercana,objetos_cercanos
Hasta luego,fuera_dominio
¿Qué clase de estancia es este?,descripcion_escena
¿Hay algún botón de ayuda?,consulta_general
Dime cómo llegar a el cetro,navegacion
Dime hacia qué lado está la vela,localizacion_objeto
¿Puedo ajustar el volumen?,consulta_general
